vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,payment_type,fare_amount,tip_amount,total_amount
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,14.33,1,73.89,13.81,87.7
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,6.87,3,10.38,3.15,13.53
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,18.92,4,20.09,5.35,25.44
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,13.72,3,23.17,0.0,23.17
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,23.77,2,21.04,0.0,21.04
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,3.3,2,67.78,5.66,73.44
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,15.34,1,39.34,0.0,39.34
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,14.68,3,63.11,0.0,63.11
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,15.01,2,47.76,6.27,54.03
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,19.67,3,11.74,3.49,15.23
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,21.31,4,44.49,1.07,45.56
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,4.25,2,12.02,2.67,14.69
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,11.17,3,59.77,5.65,65.42
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,22.1,2,28.5,0.0,28.5
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,12.61,3,61.04,14.28,75.32
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,7.35,3,17.82,0.0,17.82
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,10.46,2,46.24,3.09,49.33
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,7.71,4,56.49,9.7,66.19
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,13.51,4,56.58,11.52,68.1
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,8.01,2,79.74,9.82,89.56
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,13.63,2,13.17,0.0,13.17
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,20.9,3,18.56,1.8,20.36
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,13.59,3,21.29,0.0,21.29
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,23.63,4,7.46,0.0,7.46
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,12.23,3,11.8,0.0,11.8
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,20.64,4,18.01,0.0,18.01
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,20.37,3,41.37,9.94,51.31
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,15.11,2,10.47,0.0,10.47
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,24.76,3,62.95,20.02,82.97
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,15.83,3,47.22,0.0,47.22
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,2.34,1,54.19,0.0,54.19
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,7.56,3,35.05,5.76,40.81
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,14.95,2,57.43,13.82,71.25
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,2.25,2,36.31,8.23,44.54
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,3.55,3,64.24,18.53,82.77
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,2.47,1,57.18,10.02,67.2
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,6.11,1,71.6,15.13,86.73
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,12.03,4,79.97,7.54,87.51
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,20.45,1,73.62,0.0,73.62
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,8.58,4,39.72,4.46,44.18
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,2.66,3,25.9,7.37,33.27
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,21.8,4,28.57,4.04,32.61
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,19.03,4,35.41,0.0,35.41
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,11.23,4,61.76,0.0,61.76
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,4.38,1,13.23,2.82,16.05
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,23.7,2,45.97,0.0,45.97
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,20.95,4,41.88,7.46,49.34
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,7.27,4,22.52,3.02,25.54
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,18.29,4,29.83,2.79,32.62
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,19.19,4,69.76,11.83,81.59
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,9.88,4,38.61,2.55,41.16
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,24.72,2,7.32,1.81,9.13
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,21.92,4,41.64,0.0,41.64
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,21.84,2,11.58,0.06,11.64
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,2.47,3,9.69,0.9,10.59
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,18.11,4,68.78,9.15,77.93
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,15.96,3,70.3,0.0,70.3
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,17.75,1,79.8,12.12,91.92
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,20.01,3,37.72,11.93,49.65
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,17.2,2,31.24,2.67,33.91
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,17.24,4,16.92,0.0,16.92
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,6.72,3,73.38,0.0,73.38
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,13.89,1,54.68,8.9,63.58
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,6.63,3,37.57,7.73,45.3
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,14.51,3,19.14,3.24,22.38
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,0.7,1,79.44,0.0,79.44
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,15.37,3,73.21,21.34,94.55
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,19.01,2,20.64,0.0,20.64
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,1.32,3,51.75,11.71,63.46
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,18.81,2,59.66,0.0,59.66
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,12.79,3,19.26,5.91,25.17
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,18.79,3,67.12,0.0,67.12
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,18.24,4,65.12,1.72,66.84
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,6.98,1,77.51,9.92,87.43
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,23.54,1,38.56,9.07,47.63
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,5.92,1,55.29,11.99,67.28
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,3.92,1,52.29,12.83,65.12
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,11.61,4,27.13,0.92,28.05
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,15.58,3,48.64,15.07,63.71
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,2.93,3,6.49,1.01,7.5
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,5.15,1,45.38,5.7,51.08
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,16.17,1,76.12,2.44,78.56
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,20.83,2,7.84,2.71,10.55
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,0.57,2,48.57,3.96,52.53
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,21.73,2,79.05,22.09,101.14
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,4.77,1,5.13,0.43,5.56
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,11.48,3,13.63,0.54,14.17
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,1.56,3,43.01,0.0,43.01
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,10.94,1,38.81,0.83,39.64
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,15.4,1,41.26,1.06,42.32
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,24.87,3,13.59,2.78,16.37
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,16.45,2,38.48,1.34,39.82
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,10.69,1,36.69,5.31,42.0
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,23.11,1,27.75,2.48,30.23
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,18.74,3,10.93,0.0,10.93
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,3.49,3,65.69,13.48,79.17
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,15.21,3,70.39,10.42,80.81
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,21.26,3,11.87,0.64,12.51
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,21.21,1,68.25,18.22,86.47
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,7.2,3,50.28,12.2,62.48
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,16.6,1,74.04,4.7,78.74
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,10.79,3,14.78,0.16,14.94
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,4.31,1,15.96,1.81,17.77
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,15.37,4,55.22,0.0,55.22
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,7.44,4,24.76,0.99,25.75
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,5.51,2,44.05,3.4,47.45
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,12.69,4,62.32,6.31,68.63
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,10.23,1,17.35,4.27,21.62
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,11.02,4,37.15,1.01,38.16
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,4.71,4,57.92,2.33,60.25
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,11.17,4,67.23,2.07,69.3
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,8.66,2,43.82,4.76,48.58
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,9.1,2,9.8,1.82,11.62
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,15.26,1,21.96,0.0,21.96
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,23.14,3,17.46,3.02,20.48
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,11.33,3,69.68,3.68,73.36
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,11.81,1,64.52,7.95,72.47
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,15.05,4,8.32,0.22,8.54
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,22.77,2,39.17,10.86,50.03
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,3.04,3,28.44,1.5,29.94
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,6.57,4,78.66,0.0,78.66
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,22.99,4,79.31,16.93,96.24
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,8.58,4,35.07,7.34,42.41
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,2.5,2,25.6,5.88,31.48
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,15.08,1,73.67,16.92,90.59
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,17.72,1,27.53,7.63,35.16
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,4.92,2,53.1,6.72,59.82
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,2.39,1,29.97,2.01,31.98
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,8.75,2,42.58,11.01,53.59
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,19.39,2,49.39,0.0,49.39
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,18.13,4,58.81,0.0,58.81
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,6.36,4,50.41,13.83,64.24
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,19.35,4,72.7,0.0,72.7
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,3.89,3,42.22,2.39,44.61
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,21.22,1,7.97,1.04,9.01
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,2.75,2,25.66,2.45,28.11
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,10.21,3,66.07,21.52,87.59
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,23.31,3,21.92,2.88,24.8
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,17.55,2,64.14,0.0,64.14
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,6.77,2,61.67,13.28,74.95
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,6.32,1,45.71,8.44,54.15
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,3.22,4,7.63,2.12,9.75
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,4.02,4,49.35,0.0,49.35
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,16.87,3,4.12,0.82,4.94
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,21.9,1,9.14,1.62,10.76
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,19.82,3,52.31,4.64,56.95
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,1.59,3,22.33,0.81,23.14
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,12.22,2,65.83,0.0,65.83
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,7.69,1,65.67,0.0,65.67
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,10.26,4,64.12,7.08,71.2
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,21.71,3,23.25,1.56,24.81
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,11.27,4,24.76,3.79,28.55
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,23.15,3,29.77,0.0,29.77
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,7.7,1,64.89,1.79,66.68
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,17.4,3,10.09,1.08,11.17
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,16.17,1,37.98,12.12,50.1
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,4.0,4,9.7,1.23,10.93
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,9.88,1,6.64,0.0,6.64
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,19.2,2,49.99,16.6,66.59
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,1.13,2,44.24,10.06,54.3
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,17.75,2,41.93,8.24,50.17
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,3.5,1,79.72,0.0,79.72
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,24.21,3,38.36,5.98,44.34
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,21.36,2,54.76,10.54,65.3
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,6.3,4,64.32,2.73,67.05
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,22.16,1,6.0,0.77,6.77
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,20.67,1,27.51,6.92,34.43
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,13.18,2,13.52,0.35,13.87
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,11.1,1,70.72,15.84,86.56
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,23.4,2,67.19,7.15,74.34
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,5.31,3,30.3,9.49,39.79
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,23.57,2,13.51,2.52,16.03
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,1.51,1,17.01,5.37,22.38
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,5.66,4,10.17,2.74,12.91
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,23.94,4,50.98,0.0,50.98
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,17.37,2,22.61,3.21,25.82
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,21.61,3,37.41,2.67,40.08
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,13.12,1,59.8,20.41,80.21
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,2.87,3,28.25,2.64,30.89
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,23.38,3,75.85,11.1,86.95
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,22.04,4,18.43,0.0,18.43
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,14.79,1,5.76,1.02,6.78
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,13.65,1,7.84,2.42,10.26
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,1.61,1,36.75,9.36,46.11
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,9.97,4,47.34,0.0,47.34
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,24.39,4,62.09,0.0,62.09
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,5.38,4,32.36,6.32,38.68
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,8.66,4,42.01,0.0,42.01
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,23.32,3,43.47,0.0,43.47
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,8.74,4,16.35,4.23,20.58
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,8.62,1,57.86,0.0,57.86
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,12.13,2,78.47,21.88,100.35
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,20.63,2,58.83,3.51,62.34
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,8.19,2,6.4,0.25,6.65
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,18.32,2,35.38,0.0,35.38
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,9.73,2,43.42,15.17,58.59
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,12.36,2,38.93,7.44,46.37
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,17.77,4,25.2,0.0,25.2
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,3.49,4,28.1,9.18,37.28
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,1.53,1,72.08,8.71,80.79
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,5.45,3,30.32,2.72,33.04
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,1.74,2,74.91,3.6,78.51
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,18.08,1,52.48,0.0,52.48
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,16.5,4,55.77,0.0,55.77
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,7.49,1,40.29,0.0,40.29
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,18.6,1,73.0,0.0,73.0
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,24.93,4,73.41,0.0,73.41
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,0.73,1,63.89,0.0,63.89
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,21.35,4,74.56,11.86,86.42
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,6.8,2,24.74,2.86,27.6
